ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-06-30,794819.2176497704,530747.3902369665,901264.8632518717,794819.208441603,794819.2278127065,-78746.9745390835,-78746.9745390835,-78746.9745390835,-78746.9745390835,-78746.9745390835,-78746.9745390835,0.0,0.0,0.0,716072.2431106869
2022-07-01,792195.3749114398,570425.0336791623,949708.060054908,792195.3312402872,792195.4266030107,-37330.819584640565,-37330.819584640565,-37330.819584640565,-37330.819584640565,-37330.819584640565,-37330.819584640565,0.0,0.0,0.0,754864.5553267993
2022-07-02,789571.5321731091,597433.0632602142,985271.1333848096,789571.4335668897,789571.641890763,3669.5029721905007,3669.5029721905007,3669.5029721905007,3669.5029721905007,3669.5029721905007,3669.5029721905007,0.0,0.0,0.0,793241.0351452996
2022-07-03,786947.6894347785,657511.6861900713,1034997.2564822637,786947.4998653599,786947.8719534473,62124.37053103941,62124.37053103941,62124.37053103941,62124.37053103941,62124.37053103941,62124.37053103941,0.0,0.0,0.0,849072.059965818
2022-07-04,784323.8466964478,594218.3271126758,974433.8904440104,784323.559378754,784324.1200413756,9871.868520975482,9871.868520975482,9871.868520975482,9871.868520975482,9871.868520975482,9871.868520975482,0.0,0.0,0.0,794195.7152174233
2022-07-05,781700.0039581172,610664.7493026068,1000110.61355366,781699.6015648083,781700.3614165746,28425.890976275063,28425.890976275063,28425.890976275063,28425.890976275063,28425.890976275063,28425.890976275063,0.0,0.0,0.0,810125.8949343923
2022-07-06,779076.1612197865,604283.7422548581,990527.1200114769,779075.6518335952,779076.6099554129,11986.161123295193,11986.161123295193,11986.161123295193,11986.161123295193,11986.161123295193,11986.161123295193,0.0,0.0,0.0,791062.3223430817
2022-07-07,776452.3184814559,509839.30314658524,890360.527897569,776451.695911789,776452.8824456173,-78746.97453904207,-78746.97453904207,-78746.97453904207,-78746.97453904207,-78746.97453904207,-78746.97453904207,0.0,0.0,0.0,697705.3439424138
2022-07-08,773828.4757431252,545885.2741688857,930843.9282439724,773827.732423424,773829.137184704,-37330.81958458293,-37330.81958458293,-37330.81958458293,-37330.81958458293,-37330.81958458293,-37330.81958458293,0.0,0.0,0.0,736497.6561585423
2022-07-09,771204.6330047944,597147.1269122099,981021.0156837943,771203.7696357203,771205.4144460469,3669.5029722448435,3669.5029722448435,3669.5029722448435,3669.5029722448435,3669.5029722448435,3669.5029722448435,0.0,0.0,0.0,774874.1359770392
2022-07-10,768580.7902664638,642941.3704084199,1007942.200122947,768579.7897047631,768581.6941199255,62124.37053108839,62124.37053108839,62124.37053108839,62124.37053108839,62124.37053108839,62124.37053108839,0.0,0.0,0.0,830705.1607975522
2022-07-11,765956.9475281332,595321.5513951591,957091.2425255886,765955.7863045717,765957.9987637142,9871.868521042325,9871.868521042325,9871.868521042325,9871.868521042325,9871.868521042325,9871.868521042325,0.0,0.0,0.0,775828.8160491755
2022-07-12,763333.1047898025,607742.5322791609,973333.2238669957,763331.7957932141,763334.2999094123,28425.890976248407,28425.890976248407,28425.890976248407,28425.890976248407,28425.890976248407,28425.890976248407,0.0,0.0,0.0,791758.9957660509
2022-07-13,760709.2620514717,579757.1044436053,957027.622883878,760707.8078719191,760710.589096655,11986.161123421376,11986.161123421376,11986.161123421376,11986.161123421376,11986.161123421376,11986.161123421376,0.0,0.0,0.0,772695.4231748931
2022-07-14,758085.419313141,492691.64860231103,878529.9528861732,758083.834016608,758086.9309514405,-78746.97453920393,-78746.97453920393,-78746.97453920393,-78746.97453920393,-78746.97453920393,-78746.97453920393,0.0,0.0,0.0,679338.4447739371
2022-07-15,755461.5765748104,529285.8516471802,893863.6701309592,755459.8556042811,755463.2394897526,-37330.819584570025,-37330.819584570025,-37330.819584570025,-37330.819584570025,-37330.819584570025,-37330.819584570025,0.0,0.0,0.0,718130.7569902404
2022-07-16,752837.7338364798,572768.4550881678,953816.3642354871,752835.878874786,752839.5694363244,3669.5029720262314,3669.5029720262314,3669.5029720262314,3669.5029720262314,3669.5029720262314,3669.5029720262314,0.0,0.0,0.0,756507.2368085061
2022-07-17,750213.8910981491,620518.2545458248,1001467.4632365914,750211.8456659801,750215.9001991616,62124.37053113738,62124.37053113738,62124.37053113738,62124.37053113738,62124.37053113738,62124.37053113738,0.0,0.0,0.0,812338.2616292865
2022-07-18,747590.0483598183,576149.1211828702,952293.0340696569,747587.8305227096,747592.2547899565,9871.868520935208,9871.868520935208,9871.868520935208,9871.868520935208,9871.868520935208,9871.868520935208,0.0,0.0,0.0,757461.9168807535
2022-07-19,744966.2056214877,585228.0563879238,958080.5332266488,744963.8546007763,744968.5844672549,28425.890976183295,28425.890976183295,28425.890976183295,28425.890976183295,28425.890976183295,28425.890976183295,0.0,0.0,0.0,773392.096597671
2022-07-20,742342.362883157,568211.0232634841,942925.625797938,742339.842076783,742344.8775618221,11986.161123270726,11986.161123270726,11986.161123270726,11986.161123270726,11986.161123270726,11986.161123270726,0.0,0.0,0.0,754328.5240064277
2022-07-21,739718.5201448264,473933.9019866636,847292.0022843366,739715.8145013086,739721.2940533074,-78746.97453916247,-78746.97453916247,-78746.97453916247,-78746.97453916247,-78746.97453916247,-78746.97453916247,0.0,0.0,0.0,660971.5456056639
